1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.873708	-0.875058	0.033751	0.000000	3889.970397	0.000269	0.210990	0.008512	4.3	0.0	1074.5
1	-0.600564	-0.878553	6.949714	0.000000	3889.970397	0.000236	0.210993	0.008523	4.3	0.0	106.2
2	-0.869680	-0.875096	0.135385	1.000000	3713.153561	0.000380	0.207524	0.008323	4.5	0.0	106.2
3	-0.620496	-0.874256	6.343990	2.000000	3551.712102	0.000277	0.210340	0.008524	4.4	0.0	106.6
4	-0.862838	-0.874426	0.289698	3.000000	3403.724098	0.000350	0.175144	0.006967	4.2	0.0	106.0
5	-0.722058	-0.876600	3.863538	4.000000	3267.575134	0.000293	0.175975	0.007104	4.5	0.0	106.0
6	-0.867090	-0.883353	0.406568	5.000000	3141.899167	0.000229	0.205683	0.008201	4.4	0.0	106.3
7	-0.672252	-0.871898	4.991153	6.000000	3025.532531	0.000280	0.210359	0.008513	4.3	0.0	106.3
8	-0.851613	-0.871204	0.489774	7.000000	2917.477798	0.000313	0.208900	0.008317	4.2	0.0	105.8
9	-0.690443	-0.875169	4.618159	8.000000	2816.875115	0.000242	0.210847	0.008530	4.4	0.0	106.0
10	-0.852684	-0.871935	0.481274	9.000000	2722.979278	0.000292	0.210307	0.008368	4.5	0.0	106.0
11	-0.705672	-0.878347	4.316878	10.000000	2635.141237	0.000276	0.210719	0.008508	4.4	0.0	105.9
12	-0.858834	-0.877191	0.458939	11.000000	2552.793073	0.000281	0.210616	0.008423	4.2	0.0	106.0
13	-0.712244	-0.874967	4.068083	12.000000	2475.435707	0.000267	0.210624	0.008551	4.3	0.0	106.2
14	-0.860945	-0.877916	0.424273	13.000000	2402.628775	0.000291	0.210617	0.008414	4.3	0.0	105.8
15	-0.724897	-0.878161	3.831619	14.000000	2333.982238	0.000292	0.210638	0.008524	5.0	0.0	106.4
16	-0.863063	-0.878160	0.377425	15.000000	2269.149398	0.000262	0.210788	0.008363	4.5	0.0	106.7
17	-0.730998	-0.875870	3.621780	16.000000	2207.821036	0.000286	0.210850	0.008541	4.1	0.0	105.6
18	-0.864449	-0.879919	0.386735	17.000000	2149.720483	0.000269	0.210480	0.008383	4.4	0.0	106.2
19	-0.735852	-0.872141	3.407230	18.000000	2094.599445	0.000313	0.210650	0.008532	4.2	0.0	105.7
20	-0.862069	-0.877011	0.373553	19.000000	2042.234459	0.000253	0.209570	0.008389	4.4	0.0	106.3
21	-0.744961	-0.874112	3.228770	20.000000	1992.423862	0.000277	0.210512	0.008523	4.3	0.0	105.8
22	-0.861242	-0.877465	0.405576	21.000000	1944.985199	0.000249	0.208337	0.008238	4.4	0.0	106.3
23	-0.756162	-0.874543	2.959517	22.000000	1899.752985	0.000330	0.210471	0.008477	4.3	0.0	105.8
24	-0.856352	-0.874240	0.447210	23.000000	1856.576780	0.000255	0.206881	0.008219	4.2	0.0	105.6
25	-0.762076	-0.872250	2.754338	24.000000	1815.319519	0.000338	0.210558	0.008516	5.0	0.0	107.2
26	-0.860060	-0.880849	0.519742	25.000000	1775.856051	0.000238	0.209448	0.008315	4.7	0.0	106.7
27	-0.777681	-0.881253	2.589293	26.000000	1738.071880	0.000366	0.210821	0.008554	6.3	0.1	108.1
28	-0.859765	-0.882139	0.559342	27.000000	1701.862049	0.000236	0.210435	0.008361	5.6	0.0	107.2
29	-0.775961	-0.873538	2.439428	28.000000	1667.130170	0.000350	0.210791	0.008550	6.1	0.0	107.6
30	-0.853327	-0.876179	0.571284	29.000000	1633.787567	0.000248	0.210874	0.008359	5.8	0.0	107.3
31	-0.779324	-0.871635	2.307785	30.000000	1601.752516	0.000277	0.210897	0.008549	5.0	0.0	106.5
32	-0.855836	-0.879629	0.594823	31.000000	1570.949583	0.000211	0.210668	0.008345	5.4	0.0	106.9
33	-0.788953	-0.875608	2.166396	32.000000	1541.309025	0.000271	0.210670	0.008554	5.1	0.0	106.7
34	-0.845822	-0.870410	0.614693	33.000000	1512.766266	0.000296	0.210948	0.008317	4.5	0.0	106.0
35	-0.792255	-0.873792	2.038427	34.000000	1485.261424	0.000251	0.210948	0.008547	4.3	0.0	106.3
36	-0.851694	-0.877393	0.642477	35.000000	1458.738899	0.000291	0.210681	0.008336	4.3	0.0	105.9
37	-0.796403	-0.873128	1.918123	36.000000	1433.146988	0.000296	0.210686	0.008561	4.1	0.0	105.6
38	-0.853931	-0.881165	0.680858	37.000000	1408.437558	0.000255	0.210812	0.008330	4.2	0.0	105.7
