1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.424559	-0.888551	11.599783	0.000000	1144.970241	0.000195	0.158928	0.006371	5.9	0.0	1030.4
1	-0.458006	-0.885729	10.693061	0.000000	1144.970241	0.000205	0.127090	0.005065	6.2	0.0	107.2
2	-0.485459	-0.886207	10.018684	0.000000	1144.970241	0.000199	0.109858	0.004397	6.4	0.0	107.4
3	-0.506043	-0.885970	9.498164	0.000000	1144.970241	0.000197	0.098662	0.003941	5.6	0.0	106.8
4	-0.526578	-0.889587	9.075245	0.000000	1144.970241	0.000205	0.089715	0.003591	4.8	0.0	105.8
5	-0.540002	-0.889444	8.736049	0.000000	1144.970241	0.000194	0.112252	0.004394	5.0	0.0	106.1
6	-0.542344	-0.887771	8.635677	0.000000	1144.970241	0.000201	0.110450	0.004443	5.1	0.0	106.1
7	-0.557272	-0.887859	8.264656	0.000000	1144.970241	0.000206	0.076100	0.003026	4.9	0.0	105.9
8	-0.564846	-0.885598	8.018798	0.000000	1144.970241	0.000216	0.073082	0.002966	4.9	0.0	105.9
9	-0.573690	-0.887977	7.857171	0.000000	1144.970241	0.000200	0.120681	0.004700	4.8	0.0	105.8
10	-0.574016	-0.885549	7.788325	0.000000	1144.970241	0.000219	0.087833	0.003576	4.9	0.0	106.0
11	-0.582740	-0.882980	7.506008	1.000000	1092.926139	0.000238	0.068337	0.002781	4.9	0.0	105.9
12	-0.593526	-0.885529	7.300059	0.989985	1093.423875	0.000240	0.067725	0.002751	4.3	0.0	105.2
13	-0.597726	-0.887076	7.233759	0.979971	1093.922064	0.000212	0.140968	0.005528	5.2	0.0	106.2
14	-0.602595	-0.888443	7.146199	1.979971	1046.318781	0.000225	0.072115	0.002949	4.8	0.0	105.9
15	-0.611077	-0.888541	6.936591	2.979971	1002.685751	0.000218	0.068358	0.002802	4.8	0.0	105.8
16	-0.618125	-0.887990	6.746633	2.969956	1003.104671	0.000225	0.067842	0.002771	4.9	0.0	105.9
17	-0.619256	-0.884549	6.632329	2.959942	1003.523940	0.000225	0.136859	0.005351	4.8	0.0	106.0
18	-0.620266	-0.885450	6.629591	3.959942	963.318560	0.000235	0.078421	0.003204	4.5	0.0	105.7
19	-0.628379	-0.886761	6.459566	4.959942	926.210674	0.000227	0.091128	0.003677	5.2	0.0	106.5
20	-0.633114	-0.886201	6.327177	4.949927	926.568117	0.000221	0.097598	0.003916	4.4	0.0	105.8
21	-0.635209	-0.884871	6.241552	4.939912	926.925836	0.000227	0.143802	0.005634	4.4	0.0	105.5
22	-0.629372	-0.878544	6.229297	5.939912	892.518677	0.000235	0.092951	0.003788	4.9	0.0	105.9
23	-0.646917	-0.887452	6.013378	6.939912	860.574458	0.000226	0.078239	0.003212	4.9	0.0	105.9
24	-0.650697	-0.884296	5.839980	6.929898	860.883027	0.000222	0.080049	0.003264	4.9	0.0	105.9
25	-0.643730	-0.881691	5.949022	6.919883	861.191817	0.000233	0.155063	0.006085	4.9	0.0	105.9
26	-0.654275	-0.888716	5.861008	7.919883	831.413280	0.000219	0.105651	0.004272	4.9	0.0	105.9
