1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.816112	-0.818507	0.059869	0.000000	13182.677302	0.002672	0.195930	0.008223	4.6	0.1	1638.6
1	-0.033590	-0.834860	20.031768	0.000000	13182.677302	0.002085	0.195930	0.008228	4.8	0.1	107.1
2	-0.804131	-0.829834	0.642571	1.000000	12583.464697	0.002325	0.195930	0.008157	5.0	0.1	107.3
3	-0.083471	-0.828877	18.635142	2.000000	12036.357536	0.002284	0.195930	0.008229	4.6	0.1	107.6
4	-0.780495	-0.827400	1.172618	3.000000	11534.842639	0.002220	0.195930	0.008106	4.7	0.1	107.0
5	-0.182268	-0.840337	16.451720	2.875192	11595.141083	0.001873	0.195930	0.008096	4.6	0.1	106.9
6	-0.776841	-0.835036	1.454870	3.875192	11129.008362	0.002567	0.195930	0.008229	4.9	0.1	108.0
7	-0.209067	-0.832898	15.595767	4.875192	10698.904955	0.001989	0.195930	0.008246	4.6	0.1	107.5
8	-0.778893	-0.835739	1.421166	5.875192	10300.809015	0.002023	0.195930	0.007990	4.6	0.1	107.6
9	-0.260575	-0.827878	14.182563	6.875192	9931.275815	0.002159	0.195930	0.008281	4.5	0.1	106.8
10	-0.761761	-0.829848	1.702180	7.875192	9587.337818	0.002402	0.195930	0.008190	4.7	0.1	107.8
11	-0.308801	-0.829029	13.005693	8.875192	9266.424811	0.002286	0.195930	0.008213	4.7	0.1	107.0
12	-0.770296	-0.831042	1.518658	9.875192	8966.299561	0.002874	0.195930	0.008339	4.6	0.1	107.0
13	-0.348321	-0.837685	12.234109	10.875192	8685.005585	0.002048	0.195930	0.008156	4.6	0.1	106.9
14	-0.777556	-0.831350	1.344839	11.875192	8420.824451	0.002268	0.195930	0.008139	4.6	0.1	106.9
15	-0.372257	-0.834367	11.552759	12.875192	8172.240639	0.002353	0.195930	0.007968	5.5	0.1	107.9
16	-0.763613	-0.830008	1.659869	13.875192	7937.912451	0.001783	0.195930	0.008079	4.6	0.1	107.0
17	-0.411338	-0.835200	10.596530	14.875192	7716.647785	0.001949	0.195930	0.008022	4.9	0.1	107.2
18	-0.784848	-0.840588	1.393503	15.875192	7507.383851	0.002173	0.195930	0.008012	4.6	0.1	107.8
19	-0.440208	-0.838325	9.952911	16.875192	7309.170103	0.002247	0.195930	0.008179	4.6	0.1	106.9
20	-0.789169	-0.842740	1.339260	17.875192	7121.153795	0.002361	0.195930	0.008109	4.7	0.1	107.0
21	-0.448617	-0.828112	9.487366	18.875192	6942.567728	0.002203	0.195930	0.008462	4.6	0.1	107.7
22	-0.765378	-0.834773	1.734869	19.875192	6772.719775	0.002042	0.195930	0.008052	4.7	0.1	107.0
23	-0.480828	-0.824898	8.601764	20.875192	6610.983926	0.002664	0.195930	0.008199	4.6	0.1	106.9
24	-0.771317	-0.831782	1.511622	21.875192	6456.792573	0.002374	0.195930	0.008182	4.9	0.1	107.2
25	-0.489185	-0.824973	8.394692	22.875192	6309.629855	0.002876	0.195930	0.008415	4.7	0.1	107.8
26	-0.767907	-0.830226	1.557974	23.875192	6169.025892	0.002384	0.195930	0.008133	4.8	0.1	107.2
27	-0.509671	-0.823329	7.841459	24.875192	6034.551777	0.002400	0.195930	0.008158	4.6	0.1	107.7
28	-0.772952	-0.829228	1.406905	25.875192	5905.815201	0.002291	0.195930	0.007897	4.7	0.1	107.0
29	-0.539283	-0.833113	7.345759	26.875192	5782.456632	0.002222	0.195930	0.008209	4.9	0.1	107.2
30	-0.768866	-0.840471	1.790131	27.875192	5664.145964	0.002070	0.195930	0.008145	4.8	0.1	107.1
31	-0.557649	-0.835758	6.952729	28.875192	5550.579566	0.002439	0.195930	0.008158	4.6	0.1	106.9
32	-0.761949	-0.828653	1.667591	29.875192	5441.477677	0.002529	0.195930	0.008165	4.7	0.1	107.0
33	-0.567385	-0.831841	6.611387	30.875192	5336.582111	0.002155	0.195930	0.008159	4.6	0.1	106.9
34	-0.767646	-0.832450	1.620120	31.875192	5235.654211	0.002068	0.195930	0.008095	4.7	0.1	107.0
35	-0.572991	-0.829348	6.408939	32.875192	5138.473041	0.003089	0.195930	0.008134	4.6	0.1	106.8
36	-0.787991	-0.841919	1.348195	33.875192	5044.833770	0.002139	0.195930	0.008131	4.8	0.1	107.1
37	-0.580213	-0.837002	6.419732	34.875192	4954.546228	0.001919	0.195930	0.008067	4.7	0.1	106.9
38	-0.785255	-0.834172	1.222910	35.875192	4867.433622	0.002090	0.195930	0.008102	4.6	0.1	106.9
39	-0.584129	-0.833902	6.244336	36.875192	4783.331376	0.002158	0.195930	0.008162	4.8	0.1	107.1
40	-0.785665	-0.833886	1.205504	37.875192	4702.086098	0.002265	0.195930	0.008133	4.9	0.1	108.0
41	-0.593126	-0.832782	5.991409	38.875192	4623.554641	0.002364	0.195930	0.008238	4.7	0.1	107.0
42	-0.788513	-0.836821	1.207713	39.875192	4547.603265	0.001913	0.195930	0.008068	4.9	0.1	107.2
43	-0.597640	-0.828705	5.776628	40.875192	4474.106875	0.002418	0.195930	0.008209	4.8	0.1	107.2
44	-0.783660	-0.829684	1.150582	41.875192	4402.948335	0.001730	0.195930	0.007930	4.8	0.1	107.1
45	-0.610806	-0.831889	5.527059	42.875192	4334.017844	0.002135	0.195930	0.008304	4.6	0.1	106.8
46	-0.789106	-0.841082	1.299390	43.875192	4267.212372	0.001991	0.195930	0.008104	4.7	0.1	107.0
47	-0.610194	-0.820941	5.268673	44.875192	4202.435144	0.002404	0.195930	0.008216	4.7	0.1	107.0
48	-0.787178	-0.838132	1.273864	45.875192	4139.595173	0.002372	0.195930	0.008143	5.0	0.1	107.3
49	-0.630250	-0.832026	5.044417	46.875192	4078.606835	0.002361	0.195930	0.008214	4.7	0.1	106.9
50	-0.774908	-0.828898	1.349743	47.875192	4019.389478	0.002762	0.195930	0.008230	4.6	0.1	106.8
51	-0.644619	-0.834869	4.756254	48.875192	3961.867068	0.002553	0.195930	0.008246	4.6	0.1	106.9
52	-0.781316	-0.835897	1.364534	49.875192	3905.967861	0.002008	0.195930	0.008036	4.8	0.1	107.1
53	-0.649918	-0.833538	4.590490	50.875192	3851.624106	0.002652	0.195930	0.008380	4.6	0.1	106.9
54	-0.775698	-0.832537	1.420963	51.875192	3798.771770	0.002278	0.195930	0.008403	4.7	0.1	107.0
55	-0.644642	-0.828758	4.602880	52.875192	3747.350290	0.002014	0.195930	0.008030	4.5	0.1	106.7
56	-0.792133	-0.837947	1.145341	53.875192	3697.302334	0.002210	0.195930	0.008167	4.5	0.1	106.8
57	-0.655255	-0.837293	4.550947	54.875192	3648.573597	0.002032	0.195930	0.008160	5.0	0.1	107.3
58	-0.797639	-0.841601	1.099060	55.875192	3601.112595	0.002023	0.195930	0.008069	4.7	0.1	107.9
59	-0.655974	-0.832570	4.414895	56.875192	3554.870493	0.002462	0.195930	0.008243	4.6	0.1	106.8
60	-0.789341	-0.832950	1.090211	57.875192	3509.800930	0.002103	0.195930	0.008113	4.7	0.1	107.0
61	-0.657634	-0.829578	4.298602	58.875192	3465.859866	0.002353	0.195930	0.008269	4.5	0.1	106.8
62	-0.790710	-0.834174	1.086591	59.875192	3423.005441	0.002187	0.195930	0.008172	4.8	0.1	107.1
63	-0.673325	-0.841102	4.194431	60.875192	3381.197839	0.001945	0.195930	0.008115	4.8	0.1	107.1
64	-0.794814	-0.841841	1.175688	61.875192	3340.399166	0.002399	0.195930	0.008208	4.9	0.1	107.2
65	-0.673118	-0.831597	3.961985	62.875192	3300.573336	0.002231	0.195930	0.008182	4.5	0.1	106.7
66	-0.802752	-0.848081	1.133210	63.875192	3261.685962	0.001746	0.195930	0.008015	4.7	0.1	107.0
67	-0.681148	-0.835794	3.866161	64.875192	3223.704260	0.002094	0.195930	0.008109	4.8	0.1	107.1
68	-0.791429	-0.835701	1.106804	65.875192	3186.596955	0.002096	0.195930	0.008109	4.7	0.1	107.8
69	-0.672502	-0.823885	3.784566	66.875192	3150.334196	0.002113	0.195930	0.008236	4.8	0.1	107.1
70	-0.790764	-0.836996	1.155798	67.875192	3114.887474	0.001756	0.195930	0.007969	4.7	0.1	106.9
71	-0.683614	-0.827148	3.588342	68.875192	3080.229552	0.002301	0.195930	0.008218	4.5	0.1	106.8
72	-0.781020	-0.828440	1.185498	69.875192	3046.334387	0.002410	0.195930	0.008182	4.7	0.1	107.0
73	-0.686151	-0.825416	3.481604	70.875192	3013.177076	0.002368	0.195930	0.008231	4.7	0.1	107.7
74	-0.775248	-0.822590	1.183552	71.875192	2980.733783	0.002470	0.195930	0.008228	4.6	0.1	107.6
75	-0.707763	-0.843901	3.403441	72.875192	2948.981690	0.002056	0.195930	0.008079	4.5	0.1	106.8
76	-0.790417	-0.835042	1.115616	73.875192	2917.898942	0.002436	0.195930	0.008208	4.7	0.1	107.1
77	-0.710455	-0.845106	3.366270	74.875192	2887.464595	0.001938	0.195930	0.008117	4.8	0.1	107.1
78	-0.792287	-0.836510	1.105569	75.875192	2857.658568	0.002079	0.195930	0.008025	4.9	0.1	107.2
79	-0.700167	-0.829700	3.238334	76.875192	2828.461603	0.002591	0.195930	0.008261	4.5	0.1	106.7
80	-0.787012	-0.832066	1.126334	77.875192	2799.855220	0.002143	0.195930	0.008164	4.8	0.1	107.1
81	-0.709745	-0.837616	3.196770	78.875192	2771.821680	0.002296	0.195930	0.008233	4.7	0.1	107.1
82	-0.790247	-0.835054	1.120184	79.875192	2744.343946	0.002173	0.195930	0.008072	4.6	0.1	106.9
83	-0.708875	-0.831335	3.061510	80.875192	2717.405651	0.002239	0.195930	0.008191	4.8	0.1	107.0
84	-0.793172	-0.838656	1.137096	81.875192	2690.991065	0.002315	0.195930	0.008118	4.6	0.1	106.9
85	-0.711429	-0.830063	2.965833	82.875192	2665.085062	0.002246	0.195930	0.008120	4.7	0.1	106.9
86	-0.794004	-0.838742	1.118454	83.875192	2639.673093	0.002334	0.195930	0.008189	5.1	0.1	108.2
87	-0.718619	-0.836270	2.941268	84.875192	2614.741161	0.002460	0.195930	0.008247	4.7	0.1	107.7
88	-0.788151	-0.832214	1.101571	85.875192	2590.275791	0.002199	0.195930	0.008054	4.9	0.1	107.3
89	-0.717120	-0.830423	2.832581	86.875192	2566.264007	0.002549	0.195930	0.008192	4.6	0.1	106.8
90	-0.795266	-0.838912	1.091132	87.875192	2542.693312	0.002207	0.195930	0.008093	4.7	0.1	107.9
91	-0.724023	-0.838008	2.849632	88.875192	2519.551661	0.002089	0.195930	0.008027	4.7	0.1	107.0
92	-0.801944	-0.841462	0.987965	89.875192	2496.827447	0.002500	0.195930	0.008118	4.8	0.1	107.0
93	-0.717838	-0.829507	2.791718	90.875192	2474.509474	0.002405	0.195930	0.008192	4.6	0.1	106.9
94	-0.792639	-0.833973	1.033357	91.875192	2452.586947	0.002054	0.195930	0.008104	4.7	0.1	107.0
95	-0.714982	-0.824373	2.734775	92.875192	2431.049447	0.002322	0.195930	0.008172	4.7	0.1	107.0
96	-0.794762	-0.836507	1.043614	93.875192	2409.886919	0.002297	0.195930	0.008141	5.0	0.1	107.4
97	-0.729257	-0.835047	2.644743	94.875192	2389.089656	0.001973	0.195930	0.008101	6.0	0.1	108.3
98	-0.787708	-0.830030	1.058054	95.875192	2368.648281	0.002477	0.195930	0.008143	4.9	0.1	108.1
99	-0.739656	-0.841434	2.544461	96.875192	2348.553736	0.003234	0.195930	0.008428	4.5	0.1	106.8
100	-0.797804	-0.840605	1.070010	97.875192	2328.797270	0.002172	0.195930	0.008135	4.8	0.1	107.1
101	-0.740604	-0.840901	2.507436	98.875192	2309.370421	0.001994	0.195930	0.008100	4.5	0.1	106.7
102	-0.800572	-0.842835	1.056588	99.875192	2290.265008	0.001843	0.195930	0.008037	4.9	0.1	107.2
103	-0.727488	-0.825675	2.454678	100.875192	2271.473120	0.002223	0.195930	0.008165	4.7	0.1	106.9
104	-0.791969	-0.834201	1.055791	101.875192	2252.987101	0.002188	0.195930	0.008145	4.7	0.1	107.8
105	-0.739216	-0.835565	2.408714	102.875192	2234.799544	0.001899	0.195930	0.008045	5.1	0.1	107.4
106	-0.787680	-0.829326	1.041155	103.875192	2216.903279	0.002196	0.195930	0.008155	4.7	0.1	107.0
107	-0.740786	-0.835645	2.371482	104.875192	2199.291363	0.002736	0.195930	0.008334	4.9	0.1	107.1
108	-0.785876	-0.826857	1.024532	105.875192	2181.957073	0.002497	0.195930	0.008275	4.6	0.1	107.0
109	-0.742387	-0.836377	2.349760	106.875192	2164.893896	0.002432	0.195930	0.008133	4.9	0.1	107.2
110	-0.786974	-0.827616	1.016053	107.875192	2148.095521	0.002291	0.195930	0.008215	4.6	0.1	107.7
111	-0.746450	-0.838647	2.304930	108.875192	2131.555830	0.002245	0.195930	0.008189	4.7	0.1	107.0
112	-0.789634	-0.829168	0.988329	109.875192	2115.268894	0.002061	0.195930	0.008056	4.7	0.1	107.0
113	-0.748421	-0.838044	2.240567	110.875192	2099.228964	0.001894	0.195930	0.008118	4.5	0.1	106.8
114	-0.806285	-0.847071	1.019653	111.875192	2083.430462	0.001766	0.195930	0.008041	4.7	0.1	107.8
115	-0.748970	-0.836292	2.183038	112.875192	2067.867979	0.002512	0.195930	0.008214	4.5	0.1	106.8
116	-0.799605	-0.839260	0.991369	113.875192	2052.536264	0.002100	0.195930	0.007999	4.6	0.1	106.9
117	-0.743375	-0.827911	2.113411	114.875192	2037.430223	0.002104	0.195930	0.008117	4.7	0.1	106.9
118	-0.802681	-0.843756	1.026876	115.875192	2022.544909	0.002199	0.195930	0.008115	4.8	0.1	107.2
119	-0.748784	-0.831597	2.070343	116.875192	2007.875519	0.002022	0.195930	0.008085	5.1	0.1	107.4
120	-0.800940	-0.841680	1.018486	117.875192	1993.417389	0.002155	0.195930	0.008159	4.6	0.1	106.9
121	-0.750960	-0.833200	2.056009	118.875192	1979.165989	0.002123	0.195930	0.007841	4.7	0.1	107.8
122	-0.800057	-0.835534	0.886913	119.875192	1965.116915	0.002189	0.195930	0.008203	4.6	0.1	107.0
123	-0.746059	-0.832405	2.158640	120.875192	1951.265889	0.002222	0.195930	0.008118	4.8	0.1	107.2
124	-0.803692	-0.837578	0.847144	121.875192	1937.608754	0.002021	0.195930	0.008074	4.8	0.1	107.1
125	-0.754261	-0.839140	2.121983	122.875192	1924.141465	0.002496	0.195930	0.008200	4.5	0.1	106.7
126	-0.796803	-0.830046	0.831097	123.875192	1910.860092	0.002357	0.195930	0.008148	4.7	0.1	107.0
127	-0.747370	-0.830947	2.089446	124.875192	1897.760811	0.002194	0.195930	0.008112	4.6	0.1	106.9
128	-0.802008	-0.834634	0.815663	125.875192	1884.839904	0.002188	0.195930	0.008187	4.8	0.1	107.2
129	-0.745806	-0.829808	2.100060	126.875192	1872.093750	0.002170	0.195930	0.008129	4.9	0.1	107.9
130	-0.803951	-0.835110	0.778998	127.875192	1859.518829	0.002424	0.195930	0.008196	4.6	0.1	107.6
