1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	0.361260	-0.589641	95.090063	0.000000	6775.122542	0.355802	449.457047	0.003954	4.4	0.0	3119.0
1	0.308555	-0.542771	85.132661	0.000000	6775.122542	0.513640	445.227717	0.004193	4.3	0.0	104.7
2	0.193898	-0.569641	76.353867	0.000000	6775.122542	0.876525	408.292236	0.004383	4.2	0.0	104.6
3	0.060190	-0.600675	66.086459	0.000000	6775.122542	0.493661	435.574214	0.003902	4.2	0.0	104.6
4	-0.056145	-0.627345	57.120010	0.000000	6775.122542	0.321972	416.013541	0.003874	5.7	0.0	106.1
5	-0.166434	-0.654316	48.788227	0.000000	6775.122542	1.114740	436.585860	0.005077	5.6	0.0	106.0
6	-0.300750	-0.723105	42.235569	0.000000	6775.122542	0.739579	369.182611	0.004458	4.3	0.0	104.8
7	-0.355890	-0.669949	31.405919	0.000000	6775.122542	0.628583	418.509701	0.004367	4.3	0.0	104.7
8	-0.425014	-0.694591	26.957704	0.000000	6775.122542	0.482847	286.140597	0.005251	4.3	0.0	104.8
9	-0.465599	-0.699613	23.401473	0.000000	6775.122542	0.163575	290.475626	0.006552	4.2	0.0	104.6
10	-0.469643	-0.761607	29.196468	1.000000	6467.162427	0.162762	109.726893	0.009614	4.1	0.0	104.4
11	-0.326946	-0.709089	38.214294	2.000000	6185.981452	0.058476	28.125655	0.011430	4.1	0.0	104.5
12	-0.399516	-0.764771	36.525584	3.000000	5928.232225	0.274707	69.098490	0.010514	5.6	0.0	106.1
13	-0.400903	-0.705847	30.494330	4.000000	5691.102936	0.449552	28.645935	0.010332	5.6	0.0	106.0
14	-0.380525	-0.711834	33.130868	5.000000	5472.214361	0.102680	65.572376	0.010063	4.2	0.0	104.6
15	-0.461406	-0.735920	27.451427	6.000000	5269.539755	0.128848	26.729297	0.010460	4.5	0.0	104.9
16	-0.370062	-0.700070	33.000747	7.000000	5081.341907	0.168009	55.523946	0.010048	4.2	0.0	104.6
17	-0.493196	-0.737086	24.388980	8.000000	4906.123220	0.020162	18.519928	0.010464	4.2	0.0	104.6
18	-0.434514	-0.750944	31.642936	9.000000	4742.585780	0.085824	11.862332	0.010550	4.2	0.0	104.5
19	-0.504645	-0.741274	23.662912	10.000000	4589.599142	0.083772	26.520007	0.009813	4.2	0.0	104.6
20	-0.443946	-0.712076	26.813019	11.000000	4446.174168	0.272131	24.442852	0.009742	4.2	0.0	104.7
21	-0.537258	-0.756587	21.932994	12.000000	4311.441618	0.073031	26.432506	0.009777	4.3	0.0	104.6
22	-0.480468	-0.741412	26.094378	13.000000	4184.634511	0.131135	4.008702	0.009482	4.3	0.0	104.6
23	-0.537994	-0.740683	20.268905	14.000000	4065.073525	0.036932	45.498324	0.009607	4.2	0.0	104.5
24	-0.472932	-0.718173	24.524081	15.000000	3952.154816	0.083935	53.523165	0.009353	4.2	0.0	104.6
25	-0.487575	-0.672668	18.509287	16.000000	3845.339821	0.083931	14.226832	0.009411	4.2	0.0	104.5
26	-0.526711	-0.769455	24.274351	17.000000	3744.146668	0.445035	13.283141	0.008442	4.3	0.0	104.8
27	-0.567545	-0.721541	15.399594	18.000000	3648.142907	0.158408	159.257481	0.005604	4.1	0.0	104.5
28	-0.610597	-0.764844	15.424680	19.000000	3556.939335	0.005513	2.598130	0.007041	4.1	0.0	104.5
29	-0.564775	-0.757187	19.241287	20.000000	3470.184717	0.225006	0.875566	0.008896	4.1	0.0	104.5
30	-0.501086	-0.692833	19.174727	21.000000	3387.561271	0.625171	24.366240	0.008527	4.1	0.0	104.6
31	-0.568266	-0.742205	17.393902	22.000000	3308.780777	0.264274	7.073821	0.008808	4.3	0.0	104.8
