1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.855190	-0.856375	0.029636	0.000000	7410.322897	0.000714	0.197480	0.007988	4.4	0.0	1164.2
1	-0.400634	-0.865666	11.625799	0.000000	7410.322897	0.000797	0.197723	0.007957	4.4	0.0	106.4
2	-0.837971	-0.850597	0.315652	1.000000	7073.490038	0.000986	0.196963	0.007909	4.4	0.0	106.4
3	-0.426502	-0.851608	10.627653	2.000000	6765.946993	0.001110	0.197220	0.007876	4.5	0.0	106.5
4	-0.828328	-0.849719	0.534778	3.000000	6484.032535	0.001089	0.197413	0.007889	4.4	0.0	107.1
5	-0.466352	-0.845354	9.475049	2.977243	6490.186454	0.000792	0.197638	0.008060	4.6	0.0	106.6
6	-0.818175	-0.852999	0.870603	3.977243	6230.342470	0.001001	0.198522	0.007961	4.8	0.0	106.8
7	-0.491008	-0.846984	8.899392	4.977243	5990.503995	0.000955	0.198531	0.007998	4.8	0.0	106.9
8	-0.815890	-0.840796	0.622627	5.977243	5768.446319	0.000986	0.198519	0.007984	4.8	0.0	108.0
9	-0.515073	-0.853098	8.450610	6.977243	5562.262807	0.000632	0.198518	0.007944	5.3	0.0	107.7
10	-0.834064	-0.851899	0.445870	7.977243	5370.310014	0.000957	0.198484	0.008118	6.9	0.0	109.0
11	-0.530198	-0.856732	8.163360	8.977243	5191.163789	0.000840	0.198480	0.008054	6.0	0.0	108.8
12	-0.840663	-0.855111	0.361203	9.977243	5023.583875	0.000853	0.197603	0.007928	7.6	0.0	109.7
13	-0.556696	-0.855371	7.466893	10.977243	4866.485160	0.000594	0.197771	0.007986	6.6	0.1	108.7
14	-0.842798	-0.855414	0.315406	11.977243	4718.914149	0.000710	0.196920	0.007874	5.6	0.0	107.6
15	-0.566790	-0.845731	6.973539	12.977243	4580.029599	0.000913	0.197048	0.007928	5.9	0.0	107.8
16	-0.842170	-0.858645	0.411883	13.977243	4449.086473	0.000843	0.197806	0.008058	6.1	0.0	108.1
17	-0.576274	-0.842227	6.648818	14.977243	4325.422567	0.000706	0.197961	0.008054	6.3	0.0	108.3
18	-0.843009	-0.858155	0.378645	15.977243	4208.447310	0.000721	0.198548	0.008101	5.7	0.0	107.7
19	-0.590848	-0.845450	6.365064	16.977243	4097.632334	0.000864	0.198547	0.008098	5.6	0.0	108.3
20	-0.842664	-0.855736	0.326788	17.977243	3992.503496	0.000917	0.198525	0.008054	5.7	0.1	107.8
21	-0.605673	-0.846299	6.015657	17.954487	3994.835845	0.000818	0.198528	0.008064	5.7	0.0	107.7
22	-0.837124	-0.851451	0.358175	18.954487	3894.851184	0.000719	0.198493	0.007914	6.1	0.0	108.9
23	-0.621407	-0.850833	5.735646	19.954487	3799.749243	0.001121	0.198510	0.008067	5.6	0.1	107.6
24	-0.845483	-0.859401	0.347950	20.954487	3709.180880	0.000758	0.198535	0.008033	4.5	0.1	106.6
25	-0.630682	-0.852330	5.541214	21.954487	3622.829461	0.000991	0.198535	0.008052	4.5	0.0	106.5
26	-0.840796	-0.854605	0.345216	22.954487	3540.407171	0.000755	0.198435	0.007995	4.6	0.0	106.6
27	-0.639715	-0.849593	5.246951	23.954487	3461.651803	0.000946	0.198458	0.008182	4.7	0.0	106.7
28	-0.839620	-0.855539	0.397979	24.954487	3386.323973	0.000796	0.198451	0.007839	4.8	0.0	106.8
29	-0.662095	-0.855877	4.844542	25.954487	3314.204689	0.000615	0.198470	0.007985	4.5	0.0	106.5
30	-0.835447	-0.853140	0.442313	26.954487	3245.093227	0.000885	0.197956	0.007918	4.7	0.0	106.7
31	-0.672569	-0.857151	4.614542	27.954487	3178.805264	0.000766	0.198074	0.007899	4.8	0.0	106.7
32	-0.835754	-0.855922	0.504205	28.954487	3115.171235	0.000779	0.198005	0.007935	4.4	0.0	106.4
33	-0.682142	-0.856836	4.367356	29.954487	3054.034887	0.000967	0.198086	0.007931	4.5	0.0	106.5
34	-0.837798	-0.857676	0.496955	30.954487	2995.251997	0.000790	0.198276	0.007912	4.5	0.0	106.5
35	-0.689319	-0.856518	4.179975	31.954487	2938.689236	0.000967	0.198359	0.008053	4.4	0.0	107.1
36	-0.834691	-0.854522	0.495778	32.954487	2884.223159	0.000804	0.198548	0.007901	4.5	0.0	107.3
37	-0.694031	-0.854278	4.006170	33.954487	2831.739307	0.000704	0.198548	0.008111	4.6	0.0	106.6
38	-0.834130	-0.856005	0.546879	34.954487	2781.131403	0.000889	0.198547	0.008064	4.5	0.0	106.6
39	-0.703491	-0.858673	3.879565	35.954487	2732.300634	0.000922	0.198549	0.008048	4.6	0.0	106.6
40	-0.825878	-0.847886	0.550213	36.954487	2685.155007	0.000947	0.195073	0.007665	4.6	0.0	106.6
41	-0.716008	-0.853530	3.438057	37.954487	2639.608771	0.001034	0.195181	0.007905	4.6	0.0	106.6
42	-0.825219	-0.850282	0.626572	38.954487	2595.581894	0.000679	0.198459	0.007968	4.9	0.0	107.7
43	-0.719799	-0.858345	3.463652	39.954487	2552.999600	0.000847	0.198482	0.008146	4.5	0.0	106.5
44	-0.827758	-0.853826	0.651702	40.954487	2511.791938	0.000759	0.197071	0.007878	4.9	0.0	108.5
45	-0.729109	-0.858363	3.231350	41.954487	2471.893400	0.000809	0.197207	0.007810	5.4	0.0	108.1
46	-0.826552	-0.856277	0.743127	42.954487	2433.242580	0.001412	0.198238	0.008136	4.7	0.0	106.8
47	-0.741089	-0.866764	3.141887	43.954487	2395.781849	0.000960	0.198273	0.007891	4.5	0.0	106.5
48	-0.827986	-0.851853	0.596671	44.954487	2359.457074	0.000947	0.198026	0.007888	5.0	0.0	107.0
49	-0.734623	-0.857190	3.064177	45.954487	2324.217359	0.000666	0.198170	0.008025	4.6	0.0	106.7
50	-0.827151	-0.852575	0.635604	46.954487	2290.014800	0.000798	0.198307	0.007983	4.6	0.0	106.6
51	-0.737612	-0.856499	2.972171	47.954487	2256.804273	0.000801	0.198342	0.008067	4.6	0.0	106.6
52	-0.828362	-0.853796	0.635833	48.954487	2224.543237	0.000814	0.198531	0.007894	5.0	0.0	107.0
53	-0.741023	-0.854423	2.835018	49.954487	2193.191544	0.000801	0.198544	0.007998	4.4	0.0	106.4
54	-0.829603	-0.854985	0.634535	50.954487	2162.711283	0.000667	0.198543	0.007979	4.5	0.0	106.5
